id;last_name;marital_status;gender; annual_income ; industry ;zip_code;age_at_issue;member_type;add_members; annual_fee ;payment_type;status;start_month;start_day;start_year;end_month;end_day;end_year
A06092;Soto;Married;M; $55.681,00 ;Information Technology;80223;51;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;11;28;2011;1;27;2013
A04981;Buchanan;Married;M; $42.978,00 ;Materials;80223;37;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;11;25;2010;12;25;2011
A04999;Cannon;Married;M; $73.931,00 ;Information Technology;80223;45;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;11;25;2010;12;25;2012
A06112;Hogan;Single;M; $68.020,00 ;Telecommunication Services;80223;24;Gold;0; $9.000,00 ;MONTHLY;CANCELLED;11;24;2011;2;8;2012
A02353;Jacobs;Married;M; $55.536,00 ;Industrials;80223;27;Gold;3; $9.000,00 ;QUARTERLY;CANCELLED;11;20;2009;4;21;2010
A00962;Young;Single;M; $36.583,00 ;Industrials;80223;29;Silver;0; $7.000,00 ;MONTHLY;CANCELLED;11;20;2008;4;19;2009
A04990;Cobb;Married;M; $67.789,00 ;Consumer Discretionary;80223;36;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;11;15;2010;1;14;2012
A00871;Reed;Single;M; $95.695,00 ;Utilities;80223;30;Platinum;0; $15.000,00 ;SEMI-ANNUAL;CANCELLED;10;16;2008;6;15;2010
A00769;Ball;Married;M; $74.465,00 ;Unclassified;80223;42;Gold;1; $9.000,00 ;SEMI-ANNUAL;CANCELLED;10;10;2008;12;9;2011
A00053;Vega;Married;M; $72.592,00 ;Information Technology;80223;38;Gold;3; $9.000,00 ;SEMI-ANNUAL;CANCELLED;10;9;2007;6;8;2011
A05950;Ferguson;Married;M; $54.916,00 ;Information Technology;80223;49;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;9;28;2011;10;28;2012
A01978;Bennett;Married;M; $75.211,00 ;Real Estate;80223;45;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;9;16;2009;11;15;2011
A04854;Meyer;Single;F; $38.788,00 ;Utilities;80223;21;Bronze;0; $5.000,00 ;ANNUAL;CANCELLED;9;13;2010;11;12;2011
A02079;Smith;Married;M; $117.389,00 ;Consumer Staples;80223;36;Bronze;3; $5.000,00 ;SEMI-ANNUAL;CANCELLED;9;11;2009;5;10;2010
A04707;Maldonado;Married;M; $108.489,00 ;Consumer Discretionary;80223;41;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;8;31;2010;10;27;2011
A04680;Rios;Married;F; $114.047,00 ;Telecommunication Services;80223;55;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;8;31;2010;10;27;2011
A04818;Wells;Single;M; $73.100,00 ;Information Technology;80223;62;Bronze;0; $5.000,00 ;SEMI-ANNUAL;CANCELLED;8;31;2010;4;29;2011
A04571;Steele;Married;M; $92.209,00 ;Financials;80223;67;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;8;30;2010;10;27;2011
A05905;Bailey;Married;F; $90.251,00 ;Materials;80223;34;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;8;29;2011;9;27;2012
A02009;Barrett;Married;F; $54.324,00 ;Consumer Discretionary;80223;48;Silver;2; $7.000,00 ;ANNUAL;CANCELLED;8;28;2009;10;27;2011
A04500;Davis;Married;M; $47.015,00 ;Health Care;80223;36;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;8;25;2010;10;24;2011
A07271;Mason;Married;M; $54.406,00 ;Energy;80223;39;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;8;24;2012;9;23;2013
A04463;Young;Married;M; $118.020,00 ;Telecommunication Services;80223;67;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;8;23;2010;10;22;2011
A07281;Guerrero;Single;M; $75.284,00 ;Health Care;80223;27;Silver;0; $7.000,00 ;SEMI-ANNUAL;CANCELLED;8;9;2012;4;10;2013
A00611;Bennett;Married;M; $45.050,00 ;Energy;80223;45;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;8;8;2008;10;7;2009
A07194;Singleton;Married;M; $49.436,00 ;Telecommunication Services;80223;50;Gold;3; $9.000,00 ;SEMI-ANNUAL;CANCELLED;7;27;2012;9;25;2013
A05842;Thomas;Married;M; $59.614,00 ;Consumer Staples;80223;46;Silver;2; $7.000,00 ;SEMI-ANNUAL;CANCELLED;7;19;2011;3;17;2013
A07170;Rhodes;Married;M; $113.126,00 ;Financials;80223;30;Bronze;1; $5.000,00 ;MONTHLY;CANCELLED;7;17;2012;8;15;2013
A00603;Ramirez;Married;M; $36.160,00 ;Real Estate;80223;50;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;7;16;2008;9;14;2009
A04202;Walsh;Married;M; $70.237,00 ;Energy;80223;27;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;7;12;2010;9;10;2011
A07122;Wallace;Married;M; $50.651,00 ;Industrials;80223;36;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;6;29;2012;8;27;2013
A07124;Gordon;Married;M; $83.503,00 ;Information Technology;80223;40;Platinum;1; $15.000,00 ;MONTHLY;CANCELLED;6;29;2012;5;27;2013
A07112;Cooper;Married;F; $44.184,00 ;Information Technology;80223;43;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;6;28;2012;8;27;2013
A05796;Torres;Married;F; $70.985,00 ;Unclassified;80223;41;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;6;21;2011;8;20;2012
A01783;Casey;Married;M; $45.662,00 ;Consumer Discretionary;80223;64;Platinum;2; $15.000,00 ;ANNUAL;CANCELLED;6;16;2009;8;15;2010
A00531;Tyler;Married;M; $108.360,00 ;Consumer Discretionary;80223;35;Platinum;3; $15.000,00 ;MONTHLY;CANCELLED;6;13;2008;11;12;2008
A00019;Hayes;Married;M; $59.344,00 ;Energy;80223;29;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;6;5;2007;8;4;2008
A03993;Rivera;Married;M; $42.166,00 ;Industrials;80223;53;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;5;31;2010;7;27;2011
A00507;Horton;Married;M; $68.313,00 ;Consumer Staples;80223;37;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;5;26;2008;7;23;2011
A08971;Harvey;Married;M; $77.443,00 ;Financials;80223;43;Bronze;2; $5.000,00 ;MONTHLY;CANCELLED;5;13;2013;10;28;2013
A03855;Morris;Married;M; $99.365,00 ;Unclassified;80223;54;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;4;30;2010;6;27;2011
A01630;Colon;Single;M; $46.906,00 ;Consumer Staples;80223;34;Bronze;0; $5.000,00 ;SEMI-ANNUAL;CANCELLED;4;17;2009;6;16;2010
A01472;Daniels;Single;M; $77.601,00 ;Health Care;80223;20;Bronze;0; $5.000,00 ;ANNUAL;CANCELLED;4;16;2009;6;15;2010
A00448;Smith;Married;M; $58.529,00 ;Information Technology;80223;53;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;4;11;2008;6;11;2009
A00438;Dawson;Married;F; $112.676,00 ;Utilities;80223;58;Gold;3; $9.000,00 ;SEMI-ANNUAL;CANCELLED;4;10;2008;6;9;2011
A03475;Craig;Married;M; $90.489,00 ;Industrials;80223;38;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;4;9;2010;6;8;2011
A03566;Garrett;Married;M; $54.945,00 ;Real Estate;80223;42;Silver;2; $7.000,00 ;ANNUAL;CANCELLED;4;9;2010;6;6;2011
A05640;Steele;Single;M; $59.394,00 ;Utilities;80223;26;Bronze;0; $5.000,00 ;SEMI-ANNUAL;CANCELLED;3;31;2011;10;28;2011
A03577;Bowers;Single;F; $73.013,00 ;Consumer Staples;80223;33;Bronze;0; $5.000,00 ;ANNUAL;CANCELLED;3;31;2010;5;27;2011
A03602;Wells;Single;M; $75.992,00 ;Telecommunication Services;80223;34;Platinum;0; $15.000,00 ;ANNUAL;CANCELLED;3;31;2010;5;27;2011
A03532;Carroll;Married;M; $70.086,00 ;Telecommunication Services;80223;34;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;3;31;2010;5;27;2012
A03571;Parks;Married;M; $94.447,00 ;Energy;80223;38;Silver;1; $7.000,00 ;QUARTERLY;CANCELLED;3;31;2010;2;26;2011
A03594;Ingram;Married;M; $56.059,00 ;Materials;80223;45;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;3;31;2010;5;27;2011
A03662;Duncan;Married;M; $119.996,00 ;Health Care;80223;50;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;3;31;2010;5;27;2012
A06797;Fuller;Single;F; $95.995,00 ;Utilities;80223;20;Silver;0; $7.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06787;Rodgers;Married;M; $37.627,00 ;Industrials;80223;30;Platinum;2; $15.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06675;Blake;Single;M; $61.249,00 ;Utilities;80223;37;Silver;0; $7.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06932;Larson;Married;F; $101.224,00 ;Telecommunication Services;80223;44;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06834;Schneider;Married;F; $85.170,00 ;Unclassified;80223;44;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06921;Palmer;Married;M; $76.397,00 ;Unclassified;80223;45;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06833;Ballard;Married;M; $95.713,00 ;Health Care;80223;53;Silver;1; $7.000,00 ;MONTHLY;CANCELLED;3;30;2012;6;12;2012
A06788;Clayton;Married;M; $95.110,00 ;Industrials;80223;65;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06799;Copeland;Married;M; $106.645,00 ;Industrials;80223;39;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;3;29;2012;5;27;2013
A06778;Martinez;Married;M; $70.909,00 ;Materials;80223;44;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;3;27;2012;5;26;2013
A06765;Weaver;Married;F; $105.142,00 ;Industrials;80223;37;Silver;1; $7.000,00 ;SEMI-ANNUAL;CANCELLED;3;26;2012;11;25;2012
A03402;Holt;Married;F; $39.288,00 ;Industrials;80223;33;Gold;1; $9.000,00 ;MONTHLY;CANCELLED;3;26;2010;7;25;2010
A05467;Nunez;Married;M; $43.998,00 ;Utilities;80223;38;Platinum;2; $15.000,00 ;ANNUAL;CANCELLED;3;24;2011;5;23;2012
A06599;Hudson;Married;F; $112.497,00 ;Financials;80223;44;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;3;23;2012;5;22;2013
A06708;Fuller;Married;M; $70.460,00 ;Financials;80223;52;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;3;21;2012;5;20;2013
A01380;Osborne;Single;M; $105.107,00 ;Consumer Staples;80223;21;Bronze;0; $5.000,00 ;MONTHLY;CANCELLED;3;13;2009;7;11;2009
A00304;Anderson;Single;M; $83.536,00 ;Real Estate;80223;23;Platinum;0; $15.000,00 ;MONTHLY;CANCELLED;3;12;2008;3;13;2009
A05488;Fields;Single;M; $55.111,00 ;Real Estate;80223;21;Silver;0; $7.000,00 ;ANNUAL;CANCELLED;3;10;2011;4;9;2012
A05492;Long;Married;F; $85.513,00 ;Real Estate;80223;50;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;3;10;2011;5;9;2012
A03010;Johnson;Single;M; $118.744,00 ;Telecommunication Services;80223;20;Gold;0; $9.000,00 ;ANNUAL;CANCELLED;3;4;2010;5;3;2011
A06384;Sparks;Married;M; $50.007,00 ;Energy;80223;35;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;2;29;2012;4;29;2013
A02973;Hammond;Single;M; $59.506,00 ;Materials;80223;43;Gold;0; $9.000,00 ;ANNUAL;CANCELLED;2;26;2010;4;26;2012
A06473;Flores;Married;M; $75.848,00 ;Consumer Discretionary;80223;28;Silver;2; $7.000,00 ;ANNUAL;CANCELLED;2;24;2012;4;25;2013
A02937;Bowers;Married;M; $69.425,00 ;Utilities;80223;50;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;2;23;2010;4;24;2011
A03022;Henry;Married;F; $73.811,00 ;Unclassified;80223;46;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;2;22;2010;4;21;2011
A06429;Larson;Single;F; $92.257,00 ;Health Care;80223;33;Platinum;0; $15.000,00 ;ANNUAL;CANCELLED;2;17;2012;4;18;2013
A06358;Price;Married;M; $38.388,00 ;Energy;80223;43;Bronze;2; $5.000,00 ;SEMI-ANNUAL;CANCELLED;2;17;2012;10;16;2012
A02946;Bailey;Married;F; $53.866,00 ;Information Technology;80223;52;Silver;1; $7.000,00 ;MONTHLY;CANCELLED;2;16;2010;10;14;2010
A06376;Huff;Married;M; $102.167,00 ;Health Care;80223;34;Bronze;2; $5.000,00 ;MONTHLY;CANCELLED;2;15;2012;5;30;2012
A05390;Weber;Married;M; $37.721,00 ;Utilities;80223;47;Silver;3; $7.000,00 ;SEMI-ANNUAL;CANCELLED;2;15;2011;4;16;2013
A00228;Johnston;Married;M; $89.517,00 ;Health Care;80223;30;Silver;3; $7.000,00 ;MONTHLY;CANCELLED;2;15;2008;6;14;2008
A01251;Maxwell;Married;M; $41.074,00 ;Telecommunication Services;80223;29;Platinum;1; $15.000,00 ;MONTHLY;CANCELLED;1;29;2009;5;27;2009
A05166;Dennis;Married;M; $107.143,00 ;Materials;80223;49;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;1;27;2011;3;27;2012
A06313;Hunter;Married;M; $70.315,00 ;Industrials;80223;45;Bronze;3; $5.000,00 ;MONTHLY;CANCELLED;1;25;2012;4;9;2012
A06306;Romero;Married;M; $113.545,00 ;Health Care;80223;43;Bronze;3; $5.000,00 ;SEMI-ANNUAL;CANCELLED;1;24;2012;9;22;2012
A05246;Mann;Married;F; $96.981,00 ;Consumer Discretionary;80223;46;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;1;17;2011;2;14;2013
A02696;George;Married;M; $64.902,00 ;Energy;80223;39;Platinum;2; $15.000,00 ;ANNUAL;CANCELLED;1;15;2010;3;17;2011
A00145;Garrett;Married;F; $42.641,00 ;Consumer Discretionary;80223;27;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;1;14;2008;3;15;2009
A06266;Wilkerson;Married;M; $58.936,00 ;Consumer Staples;80223;65;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;1;13;2012;3;14;2013
A05231;Martinez;Married;M; $98.448,00 ;Financials;80223;41;Silver;1; $7.000,00 ;SEMI-ANNUAL;CANCELLED;1;11;2011;9;9;2013
A06218;Carlson;Married;F; $115.983,00 ;Materials;80223;37;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;1;6;2012;3;7;2013
A02564;Miles;Married;M; $85.069,00 ;Unclassified;80223;28;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;1;6;2010;3;7;2011
A01190;Diaz;Single;M; $119.551,00 ;Industrials;80223;26;Gold;0; $9.000,00 ;SEMI-ANNUAL;CANCELLED;1;6;2009;3;7;2010
A00136;Vaughn;Married;M; $96.045,00 ;Unclassified;80224;33;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;12;31;2007;2;26;2009
A07779;Bryant;Widowed;F; $50.969,00 ;Information Technology;80224;40;Gold;0; $9.000,00 ;SEMI-ANNUAL;CANCELLED;12;28;2012;8;27;2013
A05027;French;Married;F; $114.550,00 ;Materials;80224;50;Silver;2; $7.000,00 ;QUARTERLY;CANCELLED;12;28;2010;11;27;2012
A06197;Luna;Single;M; $65.146,00 ;Consumer Staples;80224;28;Gold;0; $9.000,00 ;ANNUAL;CANCELLED;12;26;2011;1;23;2013
A05083;Rhodes;Single;M; $85.810,00 ;Financials;80224;24;Gold;0; $9.000,00 ;MONTHLY;CANCELLED;12;15;2010;9;13;2013
A05072;Bryan;Married;M; $69.829,00 ;Financials;80224;38;Silver;2; $7.000,00 ;ANNUAL;CANCELLED;12;13;2010;2;9;2013
A01042;Clayton;Single;M; $77.283,00 ;Energy;80224;24;Silver;0; $7.000,00 ;MONTHLY;CANCELLED;12;12;2008;4;13;2009
A02417;Dennis;Married;M; $111.422,00 ;Information Technology;80224;44;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;12;10;2009;2;8;2011
A02384;Sherman;Married;M; $88.061,00 ;Utilities;80224;34;Silver;2; $7.000,00 ;MONTHLY;CANCELLED;11;30;2009;3;28;2010
A05000;Brock;Married;M; $38.872,00 ;Energy;80224;60;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;11;26;2010;1;25;2012
A02355;Baldwin;Married;M; $111.537,00 ;Telecommunication Services;80224;27;Platinum;2; $15.000,00 ;QUARTERLY;CANCELLED;11;20;2009;4;21;2010
A00937;Lamb;Single;M; $53.610,00 ;Utilities;80224;19;Platinum;0; $15.000,00 ;QUARTERLY;CANCELLED;11;6;2008;7;5;2009
A02218;Moody;Married;F; $40.262,00 ;Real Estate;80224;45;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;10;20;2009;12;18;2010
A02211;Brock;Married;M; $89.127,00 ;Industrials;80224;41;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;10;15;2009;12;14;2010
A05992;Cox;Married;F; $117.886,00 ;Telecommunication Services;80224;48;Gold;3; $9.000,00 ;MONTHLY;CANCELLED;10;14;2011;12;29;2012
A00761;Christensen;Single;M; $35.965,00 ;Unclassified;80224;36;Platinum;0; $15.000,00 ;ANNUAL;CANCELLED;9;23;2008;11;22;2009
A05958;Obrien;Married;F; $89.710,00 ;Unclassified;80224;41;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;9;22;2011;11;21;2012
A07384;Brown;Married;M; $97.368,00 ;Information Technology;80224;50;Bronze;2; $5.000,00 ;MONTHLY;CANCELLED;9;20;2012;12;5;2012
A04874;Carlson;Married;F; $63.658,00 ;Unclassified;80224;47;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;9;20;2010;11;19;2011
A00798;Brady;Married;M; $114.012,00 ;Information Technology;80224;34;Platinum;3; $15.000,00 ;SEMI-ANNUAL;CANCELLED;9;18;2008;5;17;2009
A00776;Garner;Married;M; $70.692,00 ;Telecommunication Services;80224;38;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;9;17;2008;11;16;2011
A05926;Mendez;Married;M; $56.208,00 ;Health Care;80224;30;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;9;9;2011;10;9;2012
A07353;Swanson;Single;F; $105.097,00 ;Utilities;80224;39;Silver;0; $7.000,00 ;MONTHLY;CANCELLED;8;31;2012;11;12;2012
A04815;Collier;Married;M; $109.083,00 ;Materials;80224;70;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;8;31;2010;10;27;2011
A05891;Gibbs;Married;M; $101.724,00 ;Health Care;80224;56;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;8;30;2011;10;27;2012
A04506;Potter;Married;M; $70.986,00 ;Utilities;80224;49;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;8;26;2010;10;25;2011
A01995;Waters;Married;M; $77.105,00 ;Health Care;80224;36;Platinum;2; $15.000,00 ;QUARTERLY;CANCELLED;8;24;2009;1;23;2010
A07260;Byrd;Married;M; $56.517,00 ;Information Technology;80224;43;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;8;22;2012;9;21;2013
A00682;McDaniel;Married;M; $78.677,00 ;Information Technology;80224;34;Bronze;2; $5.000,00 ;SEMI-ANNUAL;CANCELLED;8;22;2008;4;23;2009
A05872;Paul;Married;M; $48.574,00 ;Materials;80224;64;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;8;18;2011;9;17;2012
A05871;Price;Single;M; $105.895,00 ;Energy;80224;23;Gold;0; $9.000,00 ;ANNUAL;CANCELLED;8;10;2011;10;9;2012
A01969;Tucker;Married;M; $41.359,00 ;Consumer Staples;80224;62;Platinum;3; $15.000,00 ;SEMI-ANNUAL;CANCELLED;8;10;2009;4;11;2010
A01932;Frank;Married;F; $93.498,00 ;Information Technology;80224;37;Bronze;1; $5.000,00 ;SEMI-ANNUAL;CANCELLED;7;31;2009;9;26;2011
A04290;Owens;Married;M; $114.790,00 ;Financials;80224;47;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;7;28;2010;9;26;2011
A01910;Garrett;Married;M; $85.974,00 ;Consumer Discretionary;80224;66;Gold;2; $9.000,00 ;MONTHLY;CANCELLED;7;23;2009;1;22;2010
A05844;Banks;Single;M; $41.902,00 ;Information Technology;80224;34;Platinum;0; $15.000,00 ;MONTHLY;CANCELLED;7;18;2011;11;17;2011
A04185;Little;Married;F; $35.780,00 ;Consumer Discretionary;80224;40;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;7;9;2010;9;7;2011
A07083;Garcia;Married;M; $47.003,00 ;Information Technology;80224;51;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;6;29;2012;8;27;2013
A04104;Banks;Married;M; $69.368,00 ;Industrials;80224;35;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;6;25;2010;8;24;2011
A05789;Swanson;Single;F; $99.388,00 ;Industrials;80224;35;Gold;0; $9.000,00 ;ANNUAL;CANCELLED;6;15;2011;8;14;2012
A09084;Hudson;Married;M; $54.017,00 ;Telecommunication Services;80224;35;Gold;1; $9.000,00 ;MONTHLY;CANCELLED;5;31;2013;8;12;2013
A01736;Harris;Married;M; $64.159,00 ;Consumer Staples;80224;35;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;5;29;2009;7;27;2010
A05763;Todd;Married;M; $109.457,00 ;Financials;80224;55;Platinum;2; $15.000,00 ;MONTHLY;CANCELLED;5;26;2011;11;10;2011
A00481;Bowman;Married;M; $55.200,00 ;Energy;80224;39;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;5;23;2008;7;22;2011
A05750;Gardner;Married;M; $117.247,00 ;Consumer Discretionary;80224;61;Silver;1; $7.000,00 ;SEMI-ANNUAL;CANCELLED;5;11;2011;12;11;2011
A03826;Ellis;Single;M; $37.937,00 ;Industrials;80224;25;Bronze;0; $5.000,00 ;QUARTERLY;CANCELLED;4;30;2010;9;26;2010
A05729;Byrd;Married;M; $95.387,00 ;Unclassified;80224;52;Silver;2; $7.000,00 ;ANNUAL;CANCELLED;4;27;2011;5;26;2012
A03785;Huff;Married;F; $38.083,00 ;Consumer Staples;80224;30;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;4;23;2010;6;22;2011
A08781;Rodgers;Single;M; $105.794,00 ;Materials;80224;30;Gold;0; $9.000,00 ;MONTHLY;CANCELLED;3;31;2013;8;27;2013
A03676;Lane;Single;F; $77.808,00 ;Financials;80224;23;Silver;0; $7.000,00 ;MONTHLY;CANCELLED;3;31;2010;7;27;2010
A03621;Hoffman;Married;F; $77.759,00 ;Financials;80224;29;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;3;31;2010;5;27;2011
A03471;Allison;Married;M; $100.124,00 ;Telecommunication Services;80224;58;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;3;31;2010;5;27;2011
A00379;Buchanan;Single;M; $38.834,00 ;Unclassified;80224;26;Bronze;0; $5.000,00 ;ANNUAL;CANCELLED;3;31;2008;5;27;2010
A00382;Blake;Married;M; $50.969,00 ;Real Estate;80224;30;Bronze;2; $5.000,00 ;SEMI-ANNUAL;CANCELLED;3;31;2008;5;27;2011
A00369;Douglas;Married;M; $68.097,00 ;Consumer Discretionary;80224;51;Silver;1; $7.000,00 ;QUARTERLY;CANCELLED;3;31;2008;8;27;2008
A00374;Wright;Married;M; $95.362,00 ;Energy;80224;56;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;3;31;2008;5;27;2011
A06825;Francis;Single;F; $56.939,00 ;Information Technology;80224;23;Platinum;0; $15.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06855;Dean;Married;F; $74.072,00 ;Real Estate;80224;34;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06673;Coleman;Married;M; $110.307,00 ;Energy;80224;42;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06746;Herrera;Married;F; $97.891,00 ;Consumer Discretionary;80224;46;Platinum;1; $15.000,00 ;QUARTERLY;CANCELLED;3;30;2012;10;28;2012
A01538;Patterson;Married;M; $41.026,00 ;Telecommunication Services;80224;47;Gold;1; $9.000,00 ;SEMI-ANNUAL;CANCELLED;3;30;2009;11;27;2009
A03472;Rowe;Married;M; $96.168,00 ;Health Care;80224;26;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;3;29;2010;5;27;2011
A00325;Munoz;Married;M; $90.562,00 ;Industrials;80224;47;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;3;26;2008;5;25;2011
A03376;McGuire;Married;M; $52.047,00 ;Industrials;80224;40;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;3;23;2010;5;22;2011
A05527;Thornton;Single;M; $61.869,00 ;Energy;80224;27;Platinum;0; $15.000,00 ;MONTHLY;CANCELLED;3;21;2011;8;18;2011
A00328;Cunningham;Married;M; $87.091,00 ;Unclassified;80224;39;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;3;20;2008;5;19;2010
A06665;Reid;Single;F; $36.042,00 ;Energy;80224;21;Platinum;0; $15.000,00 ;ANNUAL;CANCELLED;3;19;2012;4;18;2013
A06603;Vargas;Married;M; $38.781,00 ;Energy;80224;38;Silver;1; $7.000,00 ;SEMI-ANNUAL;CANCELLED;3;19;2012;10;17;2012
A01427;Becker;Married;M; $37.066,00 ;Information Technology;80224;64;Bronze;1; $5.000,00 ;QUARTERLY;CANCELLED;3;19;2009;8;16;2009
A05498;Edwards;Married;M; $79.453,00 ;Health Care;80224;33;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;3;18;2011;5;17;2012
A00305;Lynch;Single;M; $101.148,00 ;Consumer Staples;80224;25;Gold;0; $9.000,00 ;MONTHLY;CANCELLED;3;14;2008;7;13;2008
A01388;George;Married;M; $68.240,00 ;Industrials;80224;53;Platinum;3; $15.000,00 ;MONTHLY;CANCELLED;3;12;2009;7;9;2009
A06521;Ruiz;Married;M; $99.909,00 ;Consumer Discretionary;80224;34;Silver;3; $7.000,00 ;SEMI-ANNUAL;CANCELLED;2;29;2012;9;27;2012
A06531;Pratt;Married;M; $59.069,00 ;Unclassified;80224;46;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;2;29;2012;4;29;2013
A06425;Chandler;Married;M; $74.013,00 ;Consumer Staples;80224;47;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;2;29;2012;4;29;2013
A01336;Walsh;Married;M; $91.787,00 ;Energy;80224;30;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;2;27;2009;4;27;2010
A01352;Sandoval;Married;F; $51.407,00 ;Information Technology;80224;48;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;2;27;2009;4;29;2010
A05409;Castro;Married;F; $47.973,00 ;Real Estate;80224;60;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;2;25;2011;4;25;2012
A05296;Tran;Married;M; $48.633,00 ;Real Estate;80224;47;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;2;24;2011;4;24;2012
A05395;Ramirez;Single;M; $67.774,00 ;Utilities;80224;25;Gold;0; $9.000,00 ;ANNUAL;CANCELLED;2;17;2011;4;17;2012
A00223;Matthews;Single;M; $61.920,00 ;Industrials;80224;33;Platinum;0; $15.000,00 ;QUARTERLY;CANCELLED;2;14;2008;1;13;2009
